x,y,s1,s2,s3,s4,s5,s6,aftershock
410976.1398252601,-2669456.3425872736,-10949.175732955026,1107.1807346174676,-1094.7173587138768,-4402.60584160403,-1328.279698718722,-1261.4568173831162,0.0
415976.1398252601,-2669456.3425872736,-11196.112513584912,1065.7514965796815,535.9687700585187,-4389.588133290256,-1016.038166626621,-1392.8593220361388,0.0
420976.1398252601,-2669456.3425872736,-11419.405455477809,871.1717737368382,2239.2107265754044,-4350.11112672041,-733.8954274135534,-1534.2873477307637,0.0
425976.1398252601,-2669456.3425872736,-11594.717035546431,518.2138250676419,3961.68833668728,-4282.164750141025,-475.47949593492456,-1673.9256333702142,0.0
430976.1398252601,-2669456.3425872736,-11698.334569216018,12.07554121265499,5649.339785427544,-4186.548185419125,-233.13391056401915,-1800.4745117139826,0.0
435976.1398252601,-2669456.3425872736,-11709.649256028146,-632.2276473119211,7251.748690882608,-4066.776786022523,0.973126006792902,-1904.012522653515,0.0
440976.1398252601,-2669456.3425872736,-11613.194999114328,-1391.614848438812,8725.89271494269,-3928.6331598648094,233.7973781826589,-1976.673279622578,0.0
445976.1398252601,-2669456.3425872736,-11399.942568991532,-2237.500831203337,10038.765039892189,-3779.4449001649823,470.5853029972759,-2013.0803979979744,0.0
450976.1398252601,-2669456.3425872736,-11067.706796690396,-3138.6978897250306,11168.618831525477,-3627.213459062174,714.3650549558783,-2010.5161529951165,0.0
455976.1398252601,-2669456.3425872736,-10620.718346218757,-4064.194199228546,12104.863556450138,-3479.741331160064,965.7969725038564,-1968.841351933848,0.0
460976.1398252601,-2669456.3425872736,-10068.553595849537,-4985.439178394953,12846.874476409608,-3343.8843446972783,1223.3539555757045,-1890.2056231723764,0.0
465976.1398252601,-2669456.3425872736,-9424.696810637968,-5877.923870841565,13402.085675319366,-3225.012459025603,1483.7457666547984,-1778.6087647608454,0.0
470976.1398252601,-2669456.3425872736,-8705.012185853435,-6722.01681867325,13783.788115310184,-3126.7182909918683,1742.4851025709004,-1639.380096013396,0.0
475976.1398252601,-2669456.3425872736,-7926.344593577654,-7503.145244148861,14008.970664039334,-3050.7612335760978,1994.487227289634,-1478.6410764924167,0.0
275976.1398252601,-2664456.3425872736,-7119.046913200872,-968.3447389330944,-1790.4290568508948,-4951.70733760532,-4624.275902736312,-2879.204402650417,0.0
280976.1398252601,-2664456.3425872736,-7428.262041921695,-1173.135897466604,-2134.7721983980623,-5128.696093272525,-4968.499336852351,-3027.203280178672,0.0
