date,lat,lon,depth,id,mw,moment
05/12/2008,30.858,103.24,10.75,2008WENCHU02FIEL,7.9,9.1e+20
03/11/2011,38.1035,142.861,20.318603993589385,2011TOHOKU01SATA,9.0,3.55e+22
03/11/2011,38.1035,142.861,20.318603993589385,2011TOHOKU01FUJI,9.0,3.55e+22
11/14/2007,-22.34,-70.06,51.8,2007TOCOPI01BEJA,7.7,3.98e+20
05/12/2008,30.99252,103.45786,9.27381,2008WENCHU01SLAD,7.9,7.94e+20
07/08/1986,34.0,-116.57,11.0,1986NORTHP01HART,6.21,2.28e+18
01/17/1994,34.213,-118.537,17.5,1994NORTHR01HART,6.73,1.4e+19
04/11/2012,2.3658,93.0812,21.3589,2012SUMATR01HAYE,8.56,7.76e+21
08/17/1999,40.76,29.97,17.0,1999IZMITT01DELO,7.56,2.44e+20
02/20/2008,2.7074,95.9661,23.5547,2008SIMEUL01HAYE,7.4,1.41e+20
10/07/2009,-13.0642,166.19,35.0,2009VANUAT01SLAD,7.6,2.82e+20
10/28/2012,52.769,-131.927,17.0,2012MASSET01WEIx,7.83,7e+20
10/28/2012,52.769,-131.927,17.0,2012MASSET01SHAO,7.72,4.27e+20
09/20/1999,23.869,120.84,6.9,1999CHICHI01WUxx,7.67,3.59e+20
04/06/2009,42.3439,13.3784,8.639,2009LAQUIL01GUAL,6.3,3.13e+18
09/12/2007,-2.51506,100.91388,45.0,2007PAGAII01SLAD,7.9,7.94e+20
08/26/2012,33.019,-115.537,6.4,2012BRAWLE01WEIx,5.45,1.9e+17
01/17/1995,34.595,135.012,14.3,1995KOBEJA01KOKE,6.87,2.6e+19
11/24/1987,33.0166,-115.85,10.0,1987SUPERS01WALD,6.51,6.57e+18
03/26/1997,34.43,131.35,7.7,1997KAGOSH01MIYA,6.04,1.28e+18
10/25/1981,17.742,-102.238,15.0,1981PLAYAA01MEND,7.25,8.49e+19
01/17/1995,34.595,135.012,14.3,1995KOBEJA01ZENG,6.9,2.55e+19
10/06/2000,35.26937,133.35669,7.8,2000TOTTOR01SEKI,6.83,2e+19
06/12/1978,38.15,142.167,37.0,1978MIYAGI01YAMA,7.61,2.91e+20
04/06/2009,42.35,13.38,9.5,2009LAQUIL01CIRE,6.3,3.5e+18
12/26/2003,29.052,58.365,8.0,2003BAMIRA01POIA,6.5,7.3e+18
01/13/2007,46.2542,154.43201,10.0,2007KURILI01SLAD,8.1,1.58e+21
08/17/1999,40.725,29.987,17.0,1999IZMITT01BOUC,7.59,2.7e+20
04/01/1968,32.28,132.53,15.0,1968HYUGAx01YAGI,7.53,2.22e+20
05/09/2010,3.7137,96.0833,44.6388,2010NORTHE02HAYE,7.2,7.08e+19
04/23/1992,33.966,-116.317,12.5,1992JOSHUA01HOUG,6.15,1.86e+18
10/18/1989,37.041,-121.883,17.6,1989LOMAPR01EMOL,6.91,2.59e+19
05/16/1968,40.73,143.58,9.0,1968TOKACH01NAGA,8.35,3.76e+21
08/15/2007,-13.04828,-76.54269,39.0,2007PISCOP01KONC,8.0,1.12e+21
04/11/2012,2.3554,93.0545,21.0028,2012SUMATR02HAYE,8.56,7.76e+21
08/17/1999,40.76,29.97,17.0,1999IZMITT01REIL,7.42,1.54e+20
08/17/1999,40.7,29.91,16.0,1999IZMITT01YAGI,7.4,1.41e+20
09/30/2009,-0.789,99.961,80.0,2009PADANG01SLAD,7.6,2.82e+20
10/08/2005,34.4813,73.6259,10.5152,2005KASHMI01SHAO,7.6,2.82e+20
03/11/2011,38.1035,142.861,20.318603993589385,2011TOHOKU02FUJI,9.0,3.55e+22
03/20/2012,16.662,-98.187,20.0,2012OAXACA01WEIx,7.4,1.41e+20
11/12/1999,40.76,31.16,10.0,1999DUZCET01BIRG,6.71,1.28e+19
09/21/1985,17.598,-101.819,20.0,1985ZIHUAT01MEND,7.42,1.53e+20
10/03/1974,-12.39,-77.76,12.0,1974PERUCE01HART,8.01,1.18e+21
01/03/2009,-0.5021,132.77299,34.5993,2009PAPUAx01HAYE,7.6,2.82e+20
07/17/2006,-9.295,107.345,9.802524889546552,2006SOUTHE01KONC,7.9,7.94e+20
04/06/2009,42.35,13.38,9.5,2009LAQUIL02CIRE,6.1,3.1e+18
10/05/1985,62.208,-124.217,8.0,1985NAHANN01HART,6.66,1.11e+19
09/20/1999,23.869,120.84,8.8,1999CHICHI01JOHN,7.58,2.66e+20
11/03/2002,63.5141,-147.4529,5.6,2002DENALI01ASAN,7.85,7.57e+20
01/09/1982,46.984,-66.656,8.0,1982NEWBRU01HART,5.47,1.8e+17
07/08/1986,34.0,-116.57,11.0,1986NORTHP01MEND,6.14,1.79e+18
10/23/2011,38.7511,43.4698,15.1795,2011VANTUR01HAYE,7.1,5.01e+19
07/17/2006,-9.30801,107.35979,14.71768,2006SOUTHE01JIxx,7.7,3.98e+20
10/06/2000,35.269,133.357,14.0,2000TOTTOR01IWAT,6.86,2.16e+19
09/29/2008,-29.8937,-177.7883,39.5067,2008KERMED01HAYE,7.0,3.55e+19
09/19/1985,18.18,-102.57,17.0,1985MICHOA01MEND,8.01,1.15e+21
01/12/2010,18.5075889702,-72.637450411,12.9284480674,2010HAITIx01CALA,7.1,5.04e+19
01/12/2010,18.5,-72.53,11.0,2010HAITIx01SLAD,7.0,3.55e+19
09/26/1997,43.0225,12.8917,4.04,1997COLFIO01HERN,5.72,4.32e+17
09/25/2003,41.78,144.08,25.0,2003TOKACH01TANI,7.96,9.92e+20
04/04/2010,32.3,-115.267,5.45,2010ELMAYO01WEIx,7.29,1.1e+20
09/25/2003,41.78,144.08,27.0,2003TOKACH01YAGI,8.16,1.92e+21
12/26/2004,3.12,95.49,27.0,2004SUMATR02RHIE,9.19,7.69e+22
09/16/1978,33.22,57.36,5.5,1978TABASI01HART,7.09,4.82e+19
07/15/2003,-2.6116,68.3704,11.326,2003CARLSB01WEIx,7.6,2.82e+20
08/20/2011,-18.2714,168.0602,31.4291,2011VANUAT01HAYE,7.3,1e+20
01/16/1995,34.6,135.04,14.0,1995KOBEJA01CHOx,6.8,1.76e+19
11/24/1987,33.0833,-115.796,10.0,1987ELMORE01LARS,6.52,6.82e+18
09/20/1999,23.869,120.84,6.8,1999CHICHI01ZENG,7.61,2.91e+20
10/01/1987,34.05,-118.08,14.6,1987WHITTI01HART,5.89,7.72e+17
10/19/1996,31.835,131.958,11.6,1996HYUGAx01YAGI,6.81,1.84e+19
04/24/1984,37.317,-121.682,8.5,1984MORGAN01HART,6.07,1.41e+18
09/05/2012,10.1017,-85.3446,39.3238,2012COSTAR01HAYE,7.57,2.54e+20
01/17/1995,34.598,135.044,16.37,1995KOBEJA02SEKI,7.02,3.75e+19
08/15/2007,-13.3758,-76.5213,29.4163,2007PISCOP01JIxx,8.0,1.12e+21
11/15/2006,46.592,153.266,12.0,2006KURILI01LAYx,8.4,5.02e+21
12/28/1994,40.43,143.75,10.0,1994SANRIK01NAGA,7.7,3.99e+20
09/30/1999,16.0,-97.02,39.7,1999OAXACA01HERN,7.47,1.82e+20
12/21/2010,26.8537,143.6651,17.7768,2010BONINI01HAYE,7.4,1.41e+20
08/03/2009,29.4094,-112.8066,9.1634,2009GULFOF01HAYE,6.9,2.51e+19
10/15/1979,32.644,-115.309,8.0,1979IMPERI01OLSO,6.53,6.99e+18
09/03/1998,39.8132,140.8966,3.0,1998IWATEJ01NAKA,6.3,3.2e+18
01/17/1995,34.595,135.012,14.3,1995KOBEJA01YOSH,6.86,2.22e+19
02/07/2004,-3.9906,135.051,11.2362,2004IRIANx01WEIx,7.2,7.08e+19
06/15/2005,41.2932,-125.9812,9.0038,2005NORTHE01SHAO,7.2,7.08e+19
12/02/1996,31.803,131.588,20.4,1996HYUGAx02YAGI,6.68,1.19e+19
10/09/1995,18.864,-104.579,16.55,1995COLIMA01MEND,7.96,9.67e+20
10/23/2011,38.628,43.486,20.0,2011VANTUR01SHAO,7.13,5.56e+19
04/06/2009,42.35,13.38,9.5,2009LAQUIL05CIRE,6.1,3.1e+18
01/26/2001,23.63,70.24,18.0,2001BHUJIN01YAGI,7.66,3.45e+20
04/06/2009,42.35,13.38,9.5,2009LAQUIL04CIRE,6.1,3.1e+18
01/10/2012,2.4007,93.165,18.3725,2012SUMATR03HAYE,7.2,7.08e+19
09/30/2009,-0.789,99.961,80.0,2009PADANG02SLAD,7.6,2.82e+20
08/16/1998,36.3222,137.6327,3.35,1998HIDASW09IDEx,5.13,5.66e+16
05/12/2008,31.1024,103.3166,9.4554,2008WENCHU01JIxx,7.9,7.94e+20
